Customer_ID,Gender,Age,L_O_S,Tariff,Handset
K100130,M,45,46.566667,CAT 50,SOP20
K100150,M,30,26.9,CAT 50,SOP20
K100180,M,37,27.966667,CAT 50,SOP10
K100270,M,44,29.833333,CAT 50,SOP20
K100290,M,27,20.066667,CAT 50,SOP20
K100360,M,30,45.7,CAT 50,SOP10
K100430,M,35,28.433333,CAT 50,SOP10
K100500,M,50,46.666667,CAT 50,SOP20
K100740,M,37,11.966667,CAT 50,SOP10
K101010,M,28,49.3,Play 100,SOP10
K101090,M,37,42.1,Play 100,SOP20
K101140,M,28,9.833333,Play 100,SOP10
K101150,M,30,19.966667,Play 100,SOP20
K101160,M,32,20.3,Play 100,SOP20
K101220,M,32,46.3,Play 100,SOP10
K101330,M,44,20.633333,Play 100,SOP10
K101390,M,43,25.566667,Play 100,SOP10
K101510,M,34,36.9,Play 100,SOP10
K101560,M,44,43.666667,Play 100,SOP20
K101690,M,33,26.766667,Play 100,SOP20
K101760,M,28,31.066667,Play 100,SOP20
K101780,M,33,25.966667,Play 100,SOP20
K101800,M,40,51.466667,Play 100,SOP10
K101870,M,31,24.366667,Play 100,SOP20
K101910,M,25,28.7,Play 100,SOP10
K101990,M,41,34.733333,Play 100,SOP20
K102050,M,36,48.866667,Play 100,SOP10
K102250,M,55,9.766667,CAT 50,SOP20
K102460,M,57,53.133333,Play 100,SOP20
K102540,F,53,18.666667,Play 100,SOP20
K102600,F,45,24.7,CAT 100,ASAD170
K102620,F,26,10.233333,CAT 100,S50
K102630,F,35,49.033333,CAT 100,ASAD170
K102640,M,27,58,CAT 100,S50
K102650,M,30,18,CAT 100,S50
K102660,F,31,27.266667,CAT 100,S80
K102670,F,33,16.333333,CAT 100,ASAD90
K102690,F,74,12.666667,CAT 100,ASAD170
K102700,F,34,28.333333,CAT 100,S50
K102710,M,31,25.7,CAT 100,S50
K102730,M,27,56.266667,CAT 100,S50
K102740,F,26,53.366667,CAT 100,ASAD90
K102750,F,40,32.8,CAT 100,ASAD170
K102760,M,52,51.133333,CAT 100,ASAD90
K102780,F,32,53.133333,CAT 100,ASAD170
K102790,F,35,34.566667,CAT 100,S80
K102800,M,34,36.766667,CAT 100,S80
K102830,F,48,36.433333,CAT 100,ASAD170
K102840,F,26,27.333333,CAT 100,S50
K102850,F,70,26.9,CAT 100,ASAD90
K102860,M,40,56.133333,CAT 100,ASAD90
K102880,M,41,30.3,CAT 100,ASAD170
K102900,F,29,57.6,CAT 100,ASAD170
K102910,M,44,42.833333,CAT 100,S50
K102920,M,33,42.6,CAT 100,S50
K102940,M,53,23.166667,CAT 100,ASAD170
K102950,M,31,52.566667,CAT 100,ASAD170
K102970,F,29,27.1,CAT 100,ASAD170
K102990,F,31,33.333333,CAT 100,ASAD170
K103000,F,27,28.066667,CAT 100,S80
K103010,F,31,34.5,CAT 100,ASAD170
K103020,F,34,49.733333,CAT 100,S80
K103030,M,44,33.2,CAT 100,ASAD170
K103040,M,64,45.3,CAT 100,ASAD170
K103050,F,52,42.433333,CAT 100,ASAD90
K103060,F,50,21.533333,CAT 100,ASAD170
K103090,M,32,45.933333,CAT 100,S50
K103110,M,35,23.7,CAT 100,S80
K103120,M,68,19.533333,CAT 100,ASAD170
K103130,F,49,42.566667,CAT 100,S80
K103140,M,42,57.633333,CAT 100,S80
K103150,F,29,34.633333,CAT 100,ASAD170
K103160,M,32,44.633333,CAT 100,S50
K103180,M,27,34.566667,CAT 100,S80
K103200,F,29,22.1,CAT 100,S80
K103210,M,32,23.233333,CAT 100,ASAD90
K103220,F,27,38.466667,CAT 100,S80
K103230,M,26,36.7,CAT 100,ASAD170
K103240,M,46,48.266667,CAT 100,S50
K103250,M,47,45.866667,CAT 100,S50
K103260,F,30,17.166667,CAT 100,S50
K103270,F,66,47.666667,CAT 100,S50
K103280,M,27,30.866667,CAT 100,S50
K103290,M,42,54.866667,CAT 100,S50
K103300,F,56,46.633333,CAT 100,S50
K103310,F,29,33.166667,CAT 100,S50
K103330,F,27,21.366667,CAT 100,S50
K103350,F,29,29.1,CAT 100,ASAD170
K103370,M,34,46.566667,CAT 100,S50
K103380,M,59,36.833333,CAT 100,ASAD90
K103390,M,42,50.733333,CAT 100,S50
K103400,F,52,23.7,CAT 100,S80
K103410,F,46,21.533333,CAT 100,S80
K103420,F,35,20.666667,CAT 100,S80
K103430,M,28,55.633333,CAT 100,ASAD170
K103440,F,26,22.533333,CAT 100,S80
K103460,M,40,25.5,CAT 100,S50
K103470,M,39,34.8,CAT 100,ASAD170
K103480,M,29,22.7,CAT 100,S50
K103500,M,41,11.833333,CAT 100,S80
K103510,M,30,25.633333,CAT 100,ASAD170
K103520,M,27,20.433333,CAT 100,ASAD170
K103540,F,40,42.866667,CAT 100,S50
K103550,F,26,22.4,CAT 100,S50
K103560,M,28,46.633333,CAT 100,ASAD90
K103570,M,69,16.933333,CAT 100,ASAD170
K103580,M,56,31.366667,CAT 100,S80
K103590,M,30,30.3,CAT 100,S50
K103610,M,32,38.333333,CAT 100,S80
K103630,M,52,47.4,CAT 100,ASAD90
K103640,M,26,36.433333,CAT 100,S50
K103650,F,52,29.366667,CAT 100,S80
K103660,M,27,49.4,CAT 100,ASAD170
K103680,F,29,16.066667,CAT 100,S80
K103710,F,32,31.066667,CAT 100,ASAD170
K103720,F,33,50.433333,CAT 100,ASAD90
K103730,M,61,48.6,CAT 100,ASAD170
K103740,M,27,51.466667,CAT 100,ASAD90
K103760,F,55,27.7,CAT 100,ASAD170
K103770,F,32,32.266667,CAT 100,S50
K103780,F,33,21.833333,CAT 100,S50
K103790,M,42,53.566667,CAT 100,ASAD170
K103800,F,43,33.033333,CAT 100,S50
K103830,F,54,10.9,CAT 100,ASAD170
K103840,F,39,48.4,CAT 100,ASAD170
K103850,M,39,36.166667,CAT 100,S80
K103860,M,40,21.966667,CAT 100,S50
K103890,F,27,54.3,CAT 100,S80
K103900,M,41,56.8,CAT 100,S80
K103910,F,28,29.2,CAT 100,ASAD170
K103920,M,31,48.5,CAT 100,S50
K103930,M,57,33.7,CAT 100,S50
K103940,F,42,55.066667,CAT 100,ASAD170
K103950,F,31,56.7,CAT 100,ASAD90
K103960,F,70,15.8,CAT 100,S80
K103970,F,48,50.566667,CAT 100,S80
K103980,M,79,45.1,CAT 100,S80
K103990,M,42,42.133333,CAT 100,S80
K104000,F,33,40.5,CAT 100,S50
K104010,F,26,25.266667,CAT 100,ASAD170
K104020,F,28,51.8,CAT 100,S80
K104030,M,32,27.3,CAT 100,S50
K104040,F,40,26.7,CAT 100,S50
K104050,F,28,19.533333,CAT 100,S50
K104080,F,29,15.266667,CAT 100,S80
K104100,F,26,32.5,CAT 100,ASAD170
K104110,F,45,33.566667,CAT 100,ASAD170
K104120,M,48,51.966667,CAT 100,S80
K104130,F,50,27.266667,CAT 100,S50
K104140,M,28,15.233333,CAT 100,S80
K104150,M,46,13.2,CAT 100,ASAD170
K104160,M,31,11.833333,CAT 100,ASAD170
K104170,F,34,10.066667,CAT 100,S80
K104180,M,32,31.133333,CAT 100,S80
K104190,F,50,15.133333,CAT 100,S80
K104200,M,35,42.733333,CAT 100,S80
K104210,F,38,33.233333,CAT 100,S50
K104220,F,38,24,CAT 100,S80
K104230,F,37,28.6,CAT 100,S50
K104240,F,27,45.9,CAT 100,ASAD170
K104260,F,37,37.8,CAT 100,S80
K104270,M,47,57.866667,CAT 100,S50
K104280,F,51,53.133333,CAT 100,ASAD170
K104300,F,27,10.3,CAT 100,S50
K104310,M,48,36.366667,CAT 100,S80
K104320,M,26,48.466667,CAT 100,ASAD170
K104330,M,36,50.4,CAT 100,ASAD170
K104350,F,31,42.566667,CAT 100,ASAD90
K104360,M,35,51.833333,CAT 100,ASAD170
K104370,M,66,30.433333,CAT 100,S80
K104380,F,32,14.633333,CAT 100,S80
K104390,F,30,14.266667,CAT 100,ASAD170
K104410,M,37,10.966667,CAT 100,S50
K104420,F,44,22.266667,CAT 100,S80
K104430,M,31,12.733333,CAT 100,ASAD170
K104440,F,38,40.733333,CAT 100,S80
K104450,M,72,45.566667,CAT 100,S50
K104460,F,27,48.266667,CAT 100,ASAD170
K104470,F,36,29,CAT 100,S80
K104490,M,53,17.4,CAT 100,S80
K104510,M,38,47.766667,CAT 100,ASAD170
K104520,M,28,30.5,CAT 100,ASAD90
K104540,M,56,24.466667,CAT 100,S50
K104560,F,52,56.033333,CAT 100,S50
K104580,M,52,31.866667,CAT 100,S50
K104590,M,51,21.7,CAT 100,S80
K104600,M,67,29.8,CAT 100,S50
K104610,M,38,51.566667,CAT 100,S80
K104630,F,45,13.766667,CAT 100,ASAD170
K104650,M,45,19.866667,CAT 100,S50
K104660,F,31,40.666667,CAT 100,S80
K104670,M,46,38.233333,CAT 100,S50
K104690,F,48,47.866667,CAT 100,S50
K104700,F,27,44.5,CAT 100,S50
K104720,M,39,24.9,CAT 100,S80
K104730,F,27,33.966667,CAT 100,ASAD170
K104740,M,30,48.733333,CAT 100,S80
K104760,M,29,42.9,CAT 100,ASAD170
K104780,F,52,36.366667,CAT 100,S50
K104800,F,34,49.6,CAT 100,S80
K104810,M,53,13.433333,CAT 100,S80
K104820,F,28,28.933333,CAT 100,S50
K104830,M,63,19.5,CAT 100,S80
K104840,M,39,12.5,CAT 100,S80
K104850,F,34,27.666667,CAT 100,S50
K104860,F,45,31.333333,CAT 100,S50
K104870,M,47,23.066667,CAT 100,ASAD170
K104890,M,28,10.833333,CAT 100,ASAD170
K104900,M,46,32.5,CAT 100,S50
K104910,M,33,9.933333,CAT 100,S80
K104920,F,38,42.1,CAT 100,ASAD170
K104930,F,40,35.866667,CAT 100,ASAD170
K104940,M,31,43.166667,CAT 100,S50
K104950,F,27,28.266667,CAT 100,ASAD170
K104960,M,30,34.966667,CAT 100,S80
K104970,M,50,10.466667,CAT 100,ASAD170
K104980,M,48,33.433333,CAT 100,S50
K104990,M,41,18.7,CAT 100,S50
K105010,M,36,46.033333,CAT 100,ASAD170
K105020,M,31,17,CAT 100,S80
K105030,M,72,27.4,CAT 100,S50
K105040,F,41,46.133333,CAT 100,ASAD170
K105050,F,40,12.4,CAT 100,S80
K105060,M,52,11.133333,CAT 100,ASAD170
K105070,F,47,13.333333,CAT 100,S50
K105100,M,65,15.733333,CAT 100,S50
K105110,F,31,16.4,CAT 100,ASAD90
K105120,F,41,23.933333,CAT 100,S50
K105130,F,32,34.966667,CAT 100,S50
K105140,F,27,50.433333,CAT 100,S80
K105160,M,44,24.6,CAT 100,S50
K105170,M,32,49.066667,CAT 100,S80
K105180,M,35,41.933333,CAT 100,S80
K105190,M,33,19.466667,CAT 100,ASAD170
K105200,F,35,24,CAT 100,ASAD90
K105220,M,34,13.866667,CAT 100,ASAD170
K105240,F,33,19.866667,CAT 100,S80
K105260,M,30,11.666667,CAT 100,S80
K105270,F,54,47.566667,CAT 100,ASAD170
K105290,M,32,48.266667,CAT 100,S50
K105320,M,27,44.4,CAT 100,S80
K105330,F,42,37.133333,CAT 100,S50
K105340,M,49,25.066667,CAT 100,S80
K105350,F,32,15.166667,CAT 100,ASAD170
K105370,M,30,48.933333,CAT 100,ASAD90
K105380,M,54,17.633333,CAT 100,ASAD170
K105390,F,51,36.166667,CAT 100,ASAD170
K105410,F,36,32.6,CAT 100,S80
K105420,M,27,18.866667,CAT 100,ASAD170
K105450,F,35,26.933333,CAT 100,ASAD170
K105470,F,60,35.066667,CAT 100,S80
K105480,F,52,18,CAT 100,ASAD170
K105490,F,42,49,CAT 100,S80
K105510,F,38,57.066667,CAT 100,S80
K105520,F,64,38.7,CAT 100,ASAD170
K105530,M,51,49.433333,CAT 100,S80
K105540,M,26,25.166667,CAT 100,S50
K105550,F,34,10.1,CAT 100,S80
K105570,F,65,28.933333,CAT 100,S50
K105580,F,37,46.966667,CAT 100,S80
K105590,M,34,30.266667,CAT 100,ASAD170
K105600,F,29,57,CAT 100,S80
K105610,M,29,45.766667,CAT 100,S50
K105620,F,43,11.233333,CAT 100,S50
K105630,F,60,16.533333,CAT 100,S80
K105650,F,30,25.133333,CAT 100,S50
K105670,M,42,53.933333,CAT 100,ASAD170
K105690,M,36,24.533333,CAT 100,ASAD170
K105700,M,33,37.1,CAT 100,ASAD170
K105750,M,38,42.9,CAT 100,S80
K105760,F,38,27,CAT 100,S80
K105770,F,49,44.733333,CAT 100,S80
K105790,M,37,36.066667,CAT 100,S80
K105800,M,30,42.9,CAT 100,ASAD170
K105810,F,26,30.866667,CAT 100,ASAD170
K105820,M,27,39.166667,CAT 100,S80
K105830,F,30,11.666667,CAT 100,S50
K105850,F,33,24.333333,CAT 100,ASAD170
K105860,F,34,54.333333,CAT 100,ASAD170
K105870,M,30,9.733333,CAT 100,S80
K105880,F,30,45.333333,CAT 100,ASAD170
K105900,M,47,43.4,CAT 100,ASAD170
K105910,F,29,17.333333,CAT 100,S50
K105920,M,33,28.366667,CAT 100,S50
K105930,M,31,51.3,CAT 100,S50
K105940,F,27,27.966667,CAT 100,S80
K105950,M,29,35.9,CAT 100,ASAD170
K105960,M,32,15.066667,CAT 100,ASAD170
K105970,M,39,43.266667,CAT 100,S80
K105980,M,29,20.366667,CAT 100,S80
K105990,F,31,46.666667,CAT 100,S80
K106000,M,46,21.366667,CAT 100,ASAD170
K106010,F,30,16.366667,CAT 100,S50
K106020,F,29,15.166667,CAT 100,ASAD170
K106030,F,28,31.366667,CAT 100,ASAD170
K106040,F,36,25.9,CAT 100,ASAD170
K106070,F,43,36.366667,CAT 100,S50
K106080,M,40,37.166667,CAT 100,S80
K106110,M,28,47.666667,CAT 100,S50
K106120,M,33,15.933333,CAT 100,S50
K106130,F,36,52.9,CAT 100,S80
K106140,M,43,21.233333,CAT 100,S80
K106150,M,33,13.366667,CAT 100,ASAD170
K106160,F,28,40.1,CAT 100,ASAD170
K106170,M,27,22.866667,CAT 100,S80
K106180,M,44,13.766667,CAT 100,S80
K106190,M,68,26.8,CAT 100,S50
K106200,M,50,14.033333,CAT 100,S80
K106210,F,30,32.3,CAT 100,ASAD170
K106230,F,45,31.4,CAT 100,S50
K106240,F,43,56.1,CAT 100,S80
K106260,M,43,32.533333,CAT 100,S50
K106270,M,27,39.333333,CAT 100,ASAD170
K106290,M,38,23.9,CAT 100,S80
K106300,M,34,23.466667,CAT 100,S50
K106310,M,30,45.933333,CAT 100,ASAD90
K106320,M,48,17.9,CAT 100,S80
K106350,M,36,54.866667,CAT 100,ASAD170
K106360,M,31,51,CAT 100,S80
K106370,M,27,13.4,CAT 100,ASAD90
K106390,M,63,20.566667,CAT 100,S80
K106400,F,34,25.033333,CAT 100,ASAD170
K106410,F,27,51.9,CAT 100,ASAD170
K106420,F,28,45.166667,CAT 100,ASAD170
K106430,M,38,56.066667,CAT 100,ASAD170
K106440,F,40,12.1,CAT 100,S50
K106450,F,31,35.333333,CAT 100,S80
K106470,M,30,29.1,CAT 100,S80
K106480,M,60,20.266667,CAT 100,S80
K106490,M,28,51.866667,CAT 100,S50
K106510,M,32,42.366667,CAT 100,S80
K106520,F,30,15.633333,CAT 100,ASAD90
K106530,F,42,49.9,CAT 100,ASAD170
K106540,F,30,56.9,CAT 100,S50
K106550,M,31,52.366667,CAT 100,S80
K106560,M,36,41.233333,CAT 100,S50
K106570,F,43,11.233333,CAT 100,S50
K106610,M,33,29.533333,CAT 100,ASAD170
K106620,F,34,12.733333,CAT 100,ASAD170
K106630,F,38,29.166667,CAT 100,S50
K106640,M,42,24.266667,CAT 100,ASAD170
K106660,F,27,50.333333,CAT 100,S50
K106690,M,32,29.266667,CAT 100,ASAD170
K106720,M,64,21.633333,CAT 100,S50
K106730,F,38,16.8,CAT 100,ASAD170
K106750,M,26,53.533333,CAT 100,S80
K106770,M,45,33.1,CAT 100,S50
K106780,F,27,21.133333,CAT 100,ASAD170
K106800,M,38,57.566667,CAT 100,S80
K106810,F,46,11.166667,CAT 100,ASAD170
K106820,M,38,11.433333,CAT 100,ASAD90
K106830,F,27,58,CAT 100,ASAD170
K106840,F,35,53.1,CAT 100,ASAD90
K106850,M,30,31.733333,CAT 100,S50
K106880,M,35,34.733333,CAT 100,S80
K106890,M,40,16.133333,CAT 100,ASAD170
K106900,F,29,51.733333,CAT 100,S80
K106920,F,27,53.433333,CAT 100,S80
K106930,F,30,56.433333,CAT 100,S50
K106940,F,47,39.266667,CAT 100,S50
K106950,F,51,11.066667,CAT 100,ASAD170
K106960,F,39,57.666667,CAT 100,S50
K106970,M,35,22.7,CAT 100,S50
K106990,M,30,52.866667,CAT 100,S50
K107000,F,52,43.366667,CAT 100,S80
K107020,F,43,42.2,CAT 100,S50
K107050,F,45,30.4,CAT 100,S80
K107060,F,31,51.933333,CAT 100,S50
K107070,F,51,10.2,CAT 100,S50
K107090,M,37,25.366667,CAT 100,S80
K107120,M,30,38.833333,CAT 100,ASAD170
